Brand,Name,Link,Discounted_Price,Original_Price,Discount_Percentage
Claura,Women  Fit & Flare Midi Dress,https://www.myntra.com/dresses/claura/claura-women-floral-printed--fit--flare-midi-dress/31375705/buy,724,2899,75.0
Claura,Mandarin Collar A-Line Dress,https://www.myntra.com/dresses/claura/claura-women-abstract-printed-mandarin-collar-a-line-dress/31080404/buy,695,2899,76.0
Trendyol,V-Neck Bodycon Dress,https://www.myntra.com/dresses/trendyol/trendyol-v-neck-bodycon-dress/26225046/buy,1349,2699,50.0
Sugathari,Women A-Line Midi Dress,https://www.myntra.com/dresses/sugathari/sugathari-women-puff-sleeve-a-line-midi-dress/33729209/buy,649,2029,68.0
KALINI,Floral Print A-Line Dress,https://www.myntra.com/dresses/kalini/kalini-floral-print-a-line-dress/35720169/buy,798,2663,70.0
ARAVALII,Floral Print A-Line Midi Dress,https://www.myntra.com/dresses/aravalii/aravalii-floral-printed-a-line-midi-dress/30502623/buy,1290,2999,57.0
clobug,Print Net Bodycon Midi Dress,https://www.myntra.com/dresses/clobug/clobug-print-net-bodycon-midi-dress/32753214/buy,840,2918,71.2
Chemistry,Longline Casual Shirt,https://www.myntra.com/dresses/chemistry/chemistry-solid-longline-rayon-casual-shirt/32633864/buy,832,1699,51.0
Midsummer,Sleeveless Sheath Midi Dress,https://www.myntra.com/dresses/midsummer/midsummer-sleeveless-sheath-midi-dress/29891197/buy,1592,1990,20.0
OCTICS,Floral Fit & Flare Dress,https://www.myntra.com/dresses/octics/octics-floral-printed-fit--flare-dress/28688510/buy,945,4299,78.0
Sadhnazon,Women Dress,https://www.myntra.com/dresses/sadhnazon/sadhnazon-fit--flare-midi-dress/36538543/buy,699,1499,53.4
Trendyol,Round Neck Maxi Dress,https://www.myntra.com/dresses/trendyol/trendyol-women-round-neck-maxi-dress/29789238/buy,1299,2599,50.0
Berrylush,Women Layered Dresses,https://www.myntra.com/dresses/berrylush/berrylush-women-layered-dresses/30967109/buy,804,2299,65.0
Sugathari,A-Line Midi Puff Sleeve Dress,https://www.myntra.com/dresses/sugathari/sugathari-solid-puff-sleeve-a-line-midi-dress/33729214/buy,649,2029,68.0
Trendyol,Floral Print Dress,https://www.myntra.com/dresses/trendyol/trendyol-floral-print-dress/32926571/buy,949,1899,50.0
Claura,Floral Printed Maxi Midi Dress,https://www.myntra.com/dresses/claura/claura-women-floral-printed-maxi-midi-dress/32438653/buy,852,2939,71.0
AASK,Tiered Fit & Flare Midi Dress,https://www.myntra.com/dresses/aask/aask-women-geometric-printed-tiered-puff-sleeve-crepe-fit--flare-midi-dress/36627444/buy,649,2596,75.0
Trendyol,One Shoulder Sheath Midi Dress,https://www.myntra.com/dresses/trendyol/trendyol-one-shoulder-sheath-midi-dress/29787962/buy,1349,2699,50.0
U&F,Midi Fit & Flare Dress,https://www.myntra.com/dresses/u%26f/uf-red-self-design-shoulder-straps-smocked-georgette-midi-fit--flare-dress/29810850/buy,781,3399,77.0
Tulsattva,Midi Dress,https://www.myntra.com/dresses/tulsattva/tulsattva-off-white-midi-dress/19628870/buy,976,2790,65.0
Trendyol,Women Wrap Dress,https://www.myntra.com/dresses/trendyol/trendyol-women-red-v-neck-wrap-dress/20691278/buy,1349,2699,50.0
Berrylush Curve,Plus Size A-Line Midi Dress,https://www.myntra.com/dresses/berrylush+curve/berrylush-curve-plus-size-red-floral-printed-gathered-detailed-a-line-midi-dress/28260884/buy,818,2099,61.0
AASK,Print Fit & Flare Midi Dress,https://www.myntra.com/dresses/aask/aask-women-printed-fit--flare-midi-dress/36619533/buy,649,2596,75.0
Trendyol,Keyhole Neck Fit & Flare Dress,https://www.myntra.com/dresses/trendyol/trendyol-keyhole-neck-fit--flare-dress/27532970/buy,1349,2699,50.0
Stylum,Floral Print A-Line Midi Dress,https://www.myntra.com/dresses/stylum/stylum-floral-print-fit--flare-midi-dress/29997696/buy,771,2899,73.4
Claura,Cotton Cambric Midi Dress,https://www.myntra.com/dresses/claura/claura-blue-floral-printed-mandarin-collar-tiered-cotton-cambric-fit--flare-midi-dress/24052784/buy,639,1999,68.0
STREET 9,Printed Chiffon Maxi Dress,https://www.myntra.com/dresses/street+9/street-9-ethnic-motif-printed-chiffon-maxi-dress/22808508/buy,956,2899,67.0
SASSAFRAS,Long Sleeve Bodycon Midi Dress,https://www.myntra.com/dresses/sassafras/sassafras-long-sleeve-bodycon-midi-dress/24956644/buy,683,1799,62.0
KALINI,Floral Print A-Line Dress,https://www.myntra.com/dresses/kalini/kalini-floral-print-a-line-dress/35720134/buy,798,2663,70.0
Trendyol,Sheath Off-Shoulder Dress,https://www.myntra.com/dresses/trendyol/trendyol-women-off-shoulder-sheath-dress/34159678/buy,1199,2399,50.0
Sugathari,Women A-Line Midi Dress,https://www.myntra.com/dresses/sugathari/sugathari-women-puff-sleeve-a-line-midi-dress/33729246/buy,649,2029,68.0
HOUSE OF MIRA,Floral Printed Empire Dress,https://www.myntra.com/dresses/house+of+mira/house-of-mira-women-floral-printed-cotton-empire-midi-dress/32577056/buy,773,2577,70.0
Trendyol,Printed A-Line Mini Dress,https://www.myntra.com/dresses/trendyol/trendyol-shoulder-straps-floral-printed-a-line-mini-dress/22691950/buy,1349,2699,50.0
Golden Kite,Scuba Maxi Dress,https://www.myntra.com/dresses/golden+kite/golden-kite-scuba-maxi-dress/31203133/buy,1214,2699,55.0
StyleCast,Bodycon Mini Dress,https://www.myntra.com/dresses/stylecast/stylecast-bodycon-mini-dress/35712516/buy,1341,3049,56.0
Trendyol,Women T-shirt Dress,https://www.myntra.com/dresses/trendyol/trendyol-women-tie-ups-t-shirt-dress/34158687/buy,1319,2399,45.0
glitchez,Wrap-Style Bodycon Dress,https://www.myntra.com/dresses/glitchez/glitchez-asymmetric-hem-sweetheart-neck-bodycon-dress/31790162/buy,557,1799,69.0
Chemistry,Denim Fit & Flare Midi Dress,https://www.myntra.com/dresses/chemistry/chemistry-women-denim-fit--flare-midi-dress/33509301/buy,1013,2599,61.0
Trendyol,Square Neck A-Line Dress,https://www.myntra.com/dresses/trendyol/trendyol-square-neck-a-line-dress/23009120/buy,1199,2399,50.0
Azira,Fit & Flare Dress With Jacket,https://www.myntra.com/dresses/azira/azira-fit--flare-midi-dress-with-jacket/32606426/buy,999,3199,68.8
AASK,Tiered Fit and Flare Dress,https://www.myntra.com/dresses/aask/aask-women-green-self-design-crepe-tiered-fit-and-flare-midi-dress/36627418/buy,649,2596,75.0
Loomfresh,One Shoulder Maxi Dress,https://www.myntra.com/dresses/loomfresh/loomfresh-ombre-dyed-one-shoulder-fit--flare-maxi-dress/35641327/buy,899,5999,85.0
InWeave,Printed Fit & Flare Dress,https://www.myntra.com/dresses/inweave/inweave-conversational-printed-fit--flare-dress/27547560/buy,1271,5299,76.0
TRAQUILA,Women Fit & Flare Midi Dress,https://www.myntra.com/dresses/traquila/traquila-women-square-neck-backless-fit--flare-midi-dress/36596993/buy,499,2499,80.0
STREET 9,Off-Shoulder Net Maxi Dress,https://www.myntra.com/dresses/street+9/street-9-beige-off-shoulder-net-maxi-dress/10471106/buy,959,2999,68.0
PIMU,Women Wrap Midi Dress,https://www.myntra.com/dresses/pimu/pimu-women-printed-wrap-midi-dress/34841826/buy,799,3999,80.0
AASK,Tiered Fit & Flare Midi Dress,https://www.myntra.com/dresses/aask/aask-women-geometric-printed-tiered-puff-sleeve-crepe-fit--flare-midi-dress/36627423/buy,649,2596,75.0
Trendyol,Printed Fit & Flare Dress,https://www.myntra.com/dresses/trendyol/trendyol-floral-printed-fit--flare-dress/27532902/buy,1049,2099,50.0
Moda Rapido,Printed Fit & Flare Dress,https://www.myntra.com/dresses/moda+rapido/moda-rapido-women-floral-printed-crepe-fit--flare-dress/36162915/buy,749,1999,62.5
Stylum,Floral Print Fit & Flare Maxi Dress,https://www.myntra.com/dresses/stylum/stylum-floral-print-fit--flare-maxi-dress/30722822/buy,757,2899,73.9
